Stand: 01.02.2021 05:29:50;;;
;;;
;;;
Landkreis;LKNR;Anzahl;Inzidenz
StadtRegion Aachen;05334;465;83
LK Ahrweiler;07131;104;80
LK Aichach-Friedberg;09771;88;65
LK Alb-Donau-Kreis;08425;225;114
LK Altenburger Land;16077;169;189
LK Altenkirchen;07132;61;47
LK Altmarkkreis Salzwedel;15081;82;99
LK Altötting;09171;105;94
LK Alzey-Worms;07331;81;62
SK Amberg;09361;35;83
LK Amberg-Sulzbach;09371;51;49
LK Ammerland;03451;33;26
LK Anhalt-Bitterfeld;15082;410;259
SK Ansbach;09561;91;218
LK Ansbach;09571;206;112
SK Aschaffenburg;09661;88;124
LK Aschaffenburg;09671;228;131
SK Augsburg;09761;331;112
LK Augsburg;09772;142;56
LK Aurich;03452;38;20
LK Bad Dürkheim;07332;156;118
LK Bad Kissingen;09672;94;91
LK Bad Kreuznach;07133;207;131
LK Bad Tölz-Wolfratshausen;09173;132;103
SK Baden-Baden;08211;16;29
SK Bamberg;09461;64;83
LK Bamberg;09471;229;156
LK Barnim;12060;123;66
LK Bautzen;14625;437;146
SK Bayreuth;09462;124;166
LK Bayreuth;09472;161;155
LK Berchtesgadener Land;09172;199;188
LK Bergstraße;06431;271;100
SK Berlin Charlottenburg-Wilmersdorf;11004;274;82
SK Berlin Friedrichshain-Kreuzberg;11002;202;72
SK Berlin Lichtenberg;11011;241;84
SK Berlin Marzahn-Hellersdorf;11010;191;73
SK Berlin Mitte;11001;403;107
SK Berlin Neukölln;11008;324;101
SK Berlin Pankow;11003;335;84
SK Berlin Reinickendorf;11012;226;87
SK Berlin Spandau;11005;229;96
SK Berlin Steglitz-Zehlendorf;11006;212;70
SK Berlin Tempelhof-Schöneberg;11007;246;72
SK Berlin Treptow-Köpenick;11009;251;94
LK Bernkastel-Wittlich;07231;54;48
LK Biberach;08426;150;75
SK Bielefeld;05711;233;70
LK Birkenfeld;07134;103;127
LK Bitburg-Prüm;07232;40;40
LK Böblingen;08115;212;54
SK Bochum;05911;323;88
LK Bodenseekreis;08435;177;81
SK Bonn;05314;326;99
LK Börde;15083;159;93
LK Borken;05554;211;57
SK Bottrop;05512;141;120
SK Brandenburg a.d.Havel;12051;93;129
SK Braunschweig;03101;171;69
