Stand: 12.01.2021 06:50:13;;;
;;;
;;;
Landkreis;LKNR;Anzahl;Inzidenz
LK Kleve;05154;295;94
SK Koblenz;07111;120;105
SK Köln;05315;1194;110
LK Konstanz;08335;437;153
SK Krefeld;05114;396;174
LK Kronach;09476;151;226
LK Kulmbach;09477;229;320
LK Kusel;07336;90;128
LK Kyffhäuserkreis;16065;183;247
LK Lahn-Dill-Kreis;06532;333;131
SK Landau i.d.Pfalz;07313;80;171
LK Landsberg a.Lech;09181;92;76
SK Landshut;09261;182;248
LK Landshut;09274;209;131
LK Leer;03457;148;87
SK Leipzig;14713;1242;209
LK Leipzig;14729;1077;417
SK Leverkusen;05316;231;141
LK Lichtenfels;09478;139;208
LK Limburg-Weilburg;06533;469;273
LK Lindau;09776;104;127
LK Lippe;05766;499;144
LK Lörrach;08336;337;147
SK Lübeck;01003;232;107
LK Lüchow-Dannenberg;03354;37;76
LK Ludwigsburg;08118;704;129
SK Ludwigshafen;07314;397;230
LK Ludwigslust-Parchim;13076;394;186
LK Lüneburg;03355;108;59
SK Magdeburg;15003;274;115
LK Main-Kinzig-Kreis;06435;577;137
LK Main-Spessart;09677;129;102
LK Main-Tauber-Kreis;08128;182;137
LK Main-Taunus-Kreis;06436;287;120
SK Mainz;07315;318;145
LK Mainz-Bingen;07339;307;145
SK Mannheim;08222;491;158
LK Mansfeld-Südharz;15087;270;200
LK Marburg-Biedenkopf;06534;289;117
LK Märkischer Kreis;05962;638;156
LK Märkisch-Oderland;12064;401;205
LK Mayen-Koblenz;07137;267;125
LK Mecklenburgische Seenplatte;13071;611;237
LK Meißen;14627;1051;435
SK Memmingen;09764;59;134
LK Merzig-Wadern;10042;141;137
LK Mettmann;05158;1050;216
LK Miesbach;09182;218;218
LK Miltenberg;09676;233;181
LK Minden-Lübbecke;05770;676;218
LK Mittelsachsen;14522;935;307
SK Mönchengladbach;05116;402;154
LK Mühldorf a.Inn;09183;199;172
SK Mülheim a.d.Ruhr;05117;144;84
SK München;09162;2333;157
LK München;09184;350;100
SK Münster;05515;277;88
LK Neckar-Odenwald-Kreis;08225;260;181
LK Neuburg-Schrobenhausen;09185;147;151
LK Neumarkt i.d.OPf.;09373;210;156
SK Neumünster;01004;75;94
LK Neunkirchen;10043;164;125
LK Neustadt a.d.Aisch-Bad Windsheim;09575;109;108
LK Neustadt a.d.Waldnaab;09374;180;191
SK Neustadt a.d.Weinstraße;07316;64;120
LK Neu-Ulm;09775;187;107
LK Neuwied;07138;301;165
LK Nienburg (Weser);03256;137;113
LK Nordfriesland;01054;147;89
LK Nordhausen;16062;187;224
LK Nordsachsen;14730;760;384
LK Nordwestmecklenburg;13074;170;108
LK Northeim;03155;99;75
SK Nürnberg;09564;759;146
LK Nürnberger Land;09574;231;135
LK Oberallgäu;09780;185;119
LK Oberbergischer Kreis;05374;652;240
SK Oberhausen;05119;409;194
LK Oberhavel;12065;255;120
LK Oberspreewald-Lausitz;12066;449;411
LK Odenwaldkreis;06437;179;185
LK Oder-Spree;12067;409;229
SK Offenbach;06413;233;179
LK Offenbach;06438;594;167
SK Oldenburg;03403;152;90
LK Oldenburg;03458;98;75
LK Olpe;05966;177;132
LK Ortenaukreis;08317;571;132
SK Osnabrück;03404;221;134
LK Osnabrück;03459;537;150
LK Ostalbkreis;08136;565;180
LK Ostallgäu;09777;166;118
LK Osterholz;03356;72;63
LK Ostholstein;01055;188;94
LK Ostprignitz-Ruppin;12068;311;315
LK Paderborn;05774;371;121
SK Passau;09262;147;278
LK Passau;09275;597;310
LK Peine;03157;199;148
LK Pfaffenhofen a.d.Ilm;09186;248;193
SK Pforzheim;08231;253;201
LK Pinneberg;01056;482;152
SK Pirmasens;07317;60;149
LK Plön;01057;57;44
SK Potsdam;12054;461;256
LK Potsdam-Mittelmark;12069;461;213
LK Prignitz;12070;174;228
LK Rastatt;08216;333;144
LK Ravensburg;08436;553;194
LK Recklinghausen;05562;1306;213
LK Regen;09276;199;257
SK Regensburg;09362;121;79
LK Regensburg;09375;211;109
SK Remscheid;05120;137;123
LK Rems-Murr-Kreis;08119;533;125
LK Rendsburg-Eckernförde;01058;197;72
LK Reutlingen;08415;381;133
LK Rhein-Erft-Kreis;05362;548;116
LK Rheingau-Taunus-Kreis;06439;218;116
LK Rhein-Hunsrück-Kreis;07140;159;154
LK Rheinisch-Bergischer Kreis;05378;358;126
LK Rhein-Kreis Neuss;05162;641;142
LK Rhein-Lahn-Kreis;07141;110;90
LK Rhein-Neckar-Kreis;08226;709;129
LK Rhein-Pfalz-Kreis;07338;249;161
LK Rhein-Sieg-Kreis;05382;806;134
LK Rhön-Grabfeld;09673;116;146
SK Rosenheim;09163;131;206
LK Rosenheim;09187;401;153
SK Rostock;13003;101;48
LK Rostock;13072;237;110
LK Rotenburg (Wümme);03357;130;79
LK Roth;09576;313;247
LK Rottal-Inn;09277;316;260
LK Rottweil;08325;244;174
