HOC;LOC;VIF;Original.Est.Wt.;Bootstrap.Mean.Wt.;t(431) (weight);0.in.Wt.CI;Original.Est.Ld.;Bootstrap.Mean.Ld.;t(431) (loading);0.in.Ld.CI
Distrusting Beliefs;Benevolence;3.97;0.39;0.39;3.41;FALSE;0.94;0.94;42.33;FALSE
Distrusting Beliefs;Competence;3.7;0.47;0.47;5;FALSE;0.95;0.95;55.67;FALSE
Distrusting Beliefs;Integrity;4.28;0.2;0.2;1.9;TRUE;0.92;0.92;41.96;FALSE
