X2;Name;Bezeichnung;Kopierhier
Landkreis;Erding;NA;Erding, Landkreis
Kreisfreie Stadt;Erfurt;Stadt;Erfurt, Kreisfreie Stadt
Kreisfreie Stadt;Erlangen;NA;Erlangen, Kreisfreie Stadt
Landkreis;Erlangen-Höchstadt;NA;Erlangen-Höchstadt, Landkreis
Landkreis;Erzgebirgskreis;NA;Erzgebirgskreis, Landkreis
Kreisfreie Stadt;Essen;Stadt;Essen, Kreisfreie Stadt
Landkreis;Esslingen;NA;Esslingen, Landkreis
Kreis;Euskirchen;NA;Euskirchen, Kreis
Kreisfreie Stadt;Flensburg;Stadt;Flensburg, Kreisfreie Stadt
Landkreis;Forchheim;NA;Forchheim, Landkreis
Kreisfreie Stadt;Frankenthal (Pfalz);kreisfreie Stadt;Frankenthal (Pfalz), Kreisfreie Stadt
Kreisfreie Stadt;Frankfurt (Oder);Stadt;Frankfurt (Oder), Kreisfreie Stadt
Kreisfreie Stadt;Frankfurt am Main;Stadt;Frankfurt am Main, Kreisfreie Stadt
Stadtkreis;Freiburg im Breisgau;Stadtkreis;Freiburg im Breisgau, Stadtkreis
Landkreis;Freising;NA;Freising, Landkreis
Landkreis;Freudenstadt;NA;Freudenstadt, Landkreis
Landkreis;Freyung-Grafenau;NA;Freyung-Grafenau, Landkreis
Landkreis;Friesland;NA;Friesland, Landkreis
Landkreis;Fulda;NA;Fulda, Landkreis
Landkreis;Fürstenfeldbruck;NA;Fürstenfeldbruck, Landkreis
Kreisfreie Stadt;Fürth;NA;Fürth, Kreisfreie Stadt
Landkreis;Fürth;NA;Fürth, Landkreis
Landkreis;Garmisch-Partenkirchen;NA;Garmisch-Partenkirchen, Landkreis
Kreisfreie Stadt;Gelsenkirchen;Stadt;Gelsenkirchen, Kreisfreie Stadt
Kreisfreie Stadt;Gera;Stadt;Gera, Kreisfreie Stadt
Landkreis;Germersheim;NA;Germersheim, Landkreis
Landkreis;Gießen;NA;Gießen, Landkreis
Landkreis;Gifhorn;NA;Gifhorn, Landkreis
Landkreis;Göppingen;NA;Göppingen, Landkreis
Landkreis;Görlitz;NA;Görlitz, Landkreis
Landkreis;Goslar;NA;Goslar, Landkreis
Landkreis;Gotha;NA;Gotha, Landkreis
Landkreis;Göttingen;NA;Göttingen, Landkreis
Landkreis;Grafschaft Bentheim;NA;Grafschaft Bentheim, Landkreis
Landkreis;Greiz;NA;Greiz, Landkreis
Landkreis;Groß-Gerau;NA;Groß-Gerau, Landkreis
Landkreis;Günzburg;NA;Günzburg, Landkreis
Kreis;Gütersloh;NA;Gütersloh, Kreis
Kreisfreie Stadt;Hagen;Stadt der FernUniversität;Hagen, Kreisfreie Stadt
Kreisfreie Stadt;Halle (Saale);Stadt;Halle (Saale), Kreisfreie Stadt
Kreisfreie Stadt;Hamburg;Freie und Hansestadt;Hamburg, Kreisfreie Stadt
Landkreis;Hameln-Pyrmont;NA;Hameln-Pyrmont, Landkreis
Kreisfreie Stadt;Hamm;Stadt;Hamm, Kreisfreie Stadt
Landkreis;Harburg;NA;Harburg, Landkreis
Landkreis;Harz;NA;Harz, Landkreis
